Student_ID,Attendance_%,Average_Quiz_Score,Weekly_LMS_Logins,Time_Spent_Hours,Assignments_Submitted,Engagement_Score,Dropout_Risk
S161,66,96,4,13.2,7,57,Medium
S162,74,75,2,13.9,4,53,Medium
S163,40,53,10,1.9,3,36,High
S164,74,61,10,4.9,1,56,Medium
S165,76,76,17,12.3,2,44,Low
S166,86,52,14,11.5,2,95,Medium
S167,53,95,11,3.6,3,46,High
S168,42,56,8,3.9,3,76,High
S169,40,31,9,6.2,9,50,High
S170,44,46,11,7.8,4,25,High
S171,65,62,16,9.7,3,59,Medium
S172,94,38,5,6.2,9,31,High
S173,53,72,6,7.5,7,72,High
S174,78,77,13,11.5,5,90,Low
S175,66,68,12,1.5,5,29,Medium
S176,48,71,7,4.5,7,64,High
S177,54,55,9,11,6,36,High
S178,54,79,8,13.5,9,45,High
S179,65,54,17,8.2,9,81,Medium
S180,81,53,1,8.4,7,65,Medium
S181,99,42,4,2.5,1,83,High
S182,52,89,4,7.3,8,21,High
S183,90,36,5,8.5,0,73,High
S184,71,86,18,4.4,7,84,Medium
S185,78,65,7,4.8,3,70,Low
S186,88,74,15,6.3,3,72,Low
S187,91,49,12,1.3,4,55,High
S188,71,94,0,5.5,7,45,Medium
S189,43,37,19,4,4,48,High
S190,69,45,16,5.6,7,40,High
S191,76,43,6,2.7,9,30,High
S192,62,44,12,13.5,0,59,High
S193,78,95,3,9.3,9,30,Low
S194,84,61,3,10.5,8,55,Medium
S195,54,92,5,12,5,78,High
S196,82,80,18,8,2,58,Low
S197,68,54,11,2.2,7,73,Medium
S198,75,87,6,8.5,8,74,Low
S199,52,92,9,9.2,5,43,High
S200,71,91,18,11.4,6,41,Medium
